RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720475957830	 	3.11.3
USER	Pokemon API Test	END	1720475961883
USER	Pokemon API Test	START	1720475961883
USER	Pokemon API Test	START	1720475961884
REQUEST		Get Pikachu	1720475961830	1720475961882	OK	 
USER	Pokemon API Test	END	1720475961886
USER	Pokemon API Test	START	1720475961887
REQUEST		Get Pikachu	1720475961829	1720475961894	OK	 
USER	Pokemon API Test	END	1720475961902
USER	Pokemon API Test	START	1720475961903
REQUEST		Get Pikachu	1720475961859	1720475961906	OK	 
USER	Pokemon API Test	END	1720475961910
REQUEST		Get Pikachu	1720475961855	1720475961904	OK	 
USER	Pokemon API Test	END	1720475961912
REQUEST		Get Pikachu	1720475961859	1720475961908	OK	 
USER	Pokemon API Test	END	1720475961913
USER	Pokemon API Test	START	1720475961913
USER	Pokemon API Test	START	1720475961915
REQUEST		Get Pikachu	1720475961856	1720475961911	OK	 
USER	Pokemon API Test	END	1720475961918
USER	Pokemon API Test	START	1720475961918
USER	Pokemon API Test	START	1720475961919
REQUEST		Get Pikachu	1720475961883	1720475961926	OK	 
USER	Pokemon API Test	END	1720475961932
USER	Pokemon API Test	START	1720475961932
REQUEST		Get Pikachu	1720475961884	1720475961931	OK	 
USER	Pokemon API Test	END	1720475961935
USER	Pokemon API Test	START	1720475961935
REQUEST		Get Pikachu	1720475961867	1720475961937	OK	 
USER	Pokemon API Test	END	1720475961938
USER	Pokemon API Test	START	1720475961938
REQUEST		Get Pikachu	1720475961903	1720475961939	OK	 
USER	Pokemon API Test	END	1720475961946
USER	Pokemon API Test	START	1720475961946
REQUEST		Get Pikachu	1720475961887	1720475961942	OK	 
USER	Pokemon API Test	END	1720475961946
REQUEST		Get Pikachu	1720475961882	1720475961940	OK	 
USER	Pokemon API Test	START	1720475961947
USER	Pokemon API Test	END	1720475961947
USER	Pokemon API Test	START	1720475961947
REQUEST		Get Pikachu	1720475961913	1720475961957	OK	 
USER	Pokemon API Test	END	1720475961960
USER	Pokemon API Test	START	1720475961961
REQUEST		Get Pikachu	1720475961932	1720475961969	OK	 
USER	Pokemon API Test	END	1720475961970
USER	Pokemon API Test	START	1720475961970
REQUEST		Get Pikachu	1720475961919	1720475961969	OK	 
USER	Pokemon API Test	END	1720475961979
USER	Pokemon API Test	START	1720475961979
REQUEST		Get Pikachu	1720475961918	1720475961975	OK	 
USER	Pokemon API Test	END	1720475961980
REQUEST		Get Pikachu	1720475961916	1720475961971	OK	 
USER	Pokemon API Test	START	1720475961980
USER	Pokemon API Test	END	1720475961980
USER	Pokemon API Test	START	1720475961980
REQUEST		Get Pikachu	1720475961936	1720475961987	OK	 
REQUEST		Get Pikachu	1720475961947	1720475961991	OK	 
USER	Pokemon API Test	END	1720475961992
USER	Pokemon API Test	END	1720475961992
USER	Pokemon API Test	START	1720475961992
USER	Pokemon API Test	START	1720475961993
REQUEST		Get Pikachu	1720475961947	1720475961994	OK	 
REQUEST		Get Pikachu	1720475961938	1720475961993	OK	 
REQUEST		Get Pikachu	1720475961946	1720475961999	OK	 
USER	Pokemon API Test	END	1720475962006
USER	Pokemon API Test	END	1720475962006
USER	Pokemon API Test	END	1720475962006
USER	Pokemon API Test	START	1720475962006
USER	Pokemon API Test	START	1720475962006
USER	Pokemon API Test	START	1720475962007
REQUEST		Get Pikachu	1720475961961	1720475962013	OK	 
USER	Pokemon API Test	END	1720475962017
USER	Pokemon API Test	START	1720475962017
REQUEST		Get Pikachu	1720475961981	1720475962025	OK	 
USER	Pokemon API Test	END	1720475962026
USER	Pokemon API Test	START	1720475962026
REQUEST		Get Pikachu	1720475961980	1720475962029	OK	 
USER	Pokemon API Test	END	1720475962035
USER	Pokemon API Test	START	1720475962035
REQUEST		Get Pikachu	1720475961970	1720475962034	OK	 
USER	Pokemon API Test	END	1720475962038
USER	Pokemon API Test	START	1720475962039
REQUEST		Get Pikachu	1720475962007	1720475962042	OK	 
USER	Pokemon API Test	END	1720475962043
USER	Pokemon API Test	START	1720475962043
REQUEST		Get Pikachu	1720475961980	1720475962040	OK	 
USER	Pokemon API Test	END	1720475962045
USER	Pokemon API Test	START	1720475962045
REQUEST		Get Pikachu	1720475961993	1720475962044	OK	 
USER	Pokemon API Test	END	1720475962048
USER	Pokemon API Test	START	1720475962048
REQUEST		Get Pikachu	1720475961993	1720475962050	OK	 
USER	Pokemon API Test	END	1720475962055
REQUEST		Get Pikachu	1720475962006	1720475962055	OK	 
USER	Pokemon API Test	END	1720475962060
USER	Pokemon API Test	START	1720475962060
USER	Pokemon API Test	START	1720475962060
REQUEST		Get Pikachu	1720475962043	1720475962076	OK	 
USER	Pokemon API Test	END	1720475962077
REQUEST		Get Pikachu	1720475962026	1720475962075	OK	 
USER	Pokemon API Test	END	1720475962087
USER	Pokemon API Test	START	1720475962087
USER	Pokemon API Test	START	1720475962087
REQUEST		Get Pikachu	1720475962017	1720475962078	OK	 
USER	Pokemon API Test	END	1720475962088
USER	Pokemon API Test	START	1720475962089
REQUEST		Get Pikachu	1720475962036	1720475962094	OK	 
USER	Pokemon API Test	END	1720475962099
USER	Pokemon API Test	START	1720475962099
REQUEST		Get Pikachu	1720475962048	1720475962096	OK	 
USER	Pokemon API Test	END	1720475962100
REQUEST		Get Pikachu	1720475962006	1720475962097	OK	 
USER	Pokemon API Test	END	1720475962101
USER	Pokemon API Test	START	1720475962102
USER	Pokemon API Test	START	1720475962102
REQUEST		Get Pikachu	1720475962039	1720475962095	OK	 
USER	Pokemon API Test	END	1720475962106
USER	Pokemon API Test	START	1720475962106
REQUEST		Get Pikachu	1720475962045	1720475962108	OK	 
USER	Pokemon API Test	END	1720475962115
USER	Pokemon API Test	START	1720475962115
REQUEST		Get Pikachu	1720475962060	1720475962124	OK	 
USER	Pokemon API Test	END	1720475962130
USER	Pokemon API Test	START	1720475962130
REQUEST		Get Pikachu	1720475962090	1720475962138	OK	 
USER	Pokemon API Test	END	1720475962139
USER	Pokemon API Test	START	1720475962139
REQUEST		Get Pikachu	1720475962087	1720475962140	OK	 
USER	Pokemon API Test	END	1720475962145
USER	Pokemon API Test	START	1720475962147
REQUEST		Get Pikachu	1720475962102	1720475962153	OK	 
USER	Pokemon API Test	END	1720475962156
REQUEST		Get Pikachu	1720475962060	1720475962155	OK	 
USER	Pokemon API Test	END	1720475962159
USER	Pokemon API Test	START	1720475962159
REQUEST		Get Pikachu	1720475962107	1720475962151	OK	 
USER	Pokemon API Test	END	1720475962160
USER	Pokemon API Test	START	1720475962161
REQUEST		Get Pikachu	1720475962100	1720475962155	OK	 
USER	Pokemon API Test	END	1720475962161
USER	Pokemon API Test	START	1720475962161
USER	Pokemon API Test	START	1720475962161
REQUEST		Get Pikachu	1720475962116	1720475962170	OK	 
USER	Pokemon API Test	END	1720475962174
USER	Pokemon API Test	START	1720475962174
REQUEST		Get Pikachu	1720475962105	1720475962182	OK	 
REQUEST		Get Pikachu	1720475962089	1720475962160	OK	 
USER	Pokemon API Test	END	1720475962183
USER	Pokemon API Test	END	1720475962183
USER	Pokemon API Test	START	1720475962183
USER	Pokemon API Test	START	1720475962184
REQUEST		Get Pikachu	1720475962139	1720475962187	OK	 
USER	Pokemon API Test	END	1720475962193
USER	Pokemon API Test	START	1720475962193
REQUEST		Get Pikachu	1720475962130	1720475962188	OK	 
USER	Pokemon API Test	END	1720475962195
USER	Pokemon API Test	START	1720475962195
REQUEST		Get Pikachu	1720475962147	1720475962201	OK	 
USER	Pokemon API Test	END	1720475962202
USER	Pokemon API Test	START	1720475962202
REQUEST		Get Pikachu	1720475962159	1720475962202	OK	 
USER	Pokemon API Test	END	1720475962206
USER	Pokemon API Test	START	1720475962206
REQUEST		Get Pikachu	1720475962177	1720475962209	OK	 
USER	Pokemon API Test	END	1720475962210
USER	Pokemon API Test	START	1720475962211
REQUEST		Get Pikachu	1720475962161	1720475962208	OK	 
USER	Pokemon API Test	END	1720475962215
USER	Pokemon API Test	START	1720475962215
REQUEST		Get Pikachu	1720475962162	1720475962223	OK	 
USER	Pokemon API Test	END	1720475962227
REQUEST		Get Pikachu	1720475962161	1720475962222	OK	 
USER	Pokemon API Test	START	1720475962227
USER	Pokemon API Test	END	1720475962227
USER	Pokemon API Test	START	1720475962228
REQUEST		Get Pikachu	1720475962206	1720475962241	OK	 
USER	Pokemon API Test	END	1720475962242
REQUEST		Get Pikachu	1720475962184	1720475962239	OK	 
REQUEST		Get Pikachu	1720475962184	1720475962239	OK	 
USER	Pokemon API Test	END	1720475962243
USER	Pokemon API Test	END	1720475962243
USER	Pokemon API Test	START	1720475962243
REQUEST		Get Pikachu	1720475962196	1720475962238	OK	 
USER	Pokemon API Test	END	1720475962245
USER	Pokemon API Test	START	1720475962245
USER	Pokemon API Test	START	1720475962245
REQUEST		Get Pikachu	1720475962193	1720475962243	OK	 
USER	Pokemon API Test	END	1720475962252
USER	Pokemon API Test	START	1720475962252
USER	Pokemon API Test	START	1720475962252
REQUEST		Get Pikachu	1720475962215	1720475962266	OK	 
USER	Pokemon API Test	END	1720475962271
USER	Pokemon API Test	START	1720475962271
REQUEST		Get Pikachu	1720475962206	1720475962278	OK	 
USER	Pokemon API Test	END	1720475962281
USER	Pokemon API Test	START	1720475962281
REQUEST		Get Pikachu	1720475962253	1720475962282	OK	 
USER	Pokemon API Test	END	1720475962283
REQUEST		Get Pikachu	1720475962228	1720475962283	OK	 
USER	Pokemon API Test	START	1720475962284
USER	Pokemon API Test	END	1720475962284
USER	Pokemon API Test	START	1720475962285
REQUEST		Get Pikachu	1720475962212	1720475962271	OK	 
USER	Pokemon API Test	END	1720475962286
USER	Pokemon API Test	START	1720475962287
REQUEST		Get Pikachu	1720475962245	1720475962297	OK	 
REQUEST		Get Pikachu	1720475962252	1720475962297	OK	 
USER	Pokemon API Test	END	1720475962302
USER	Pokemon API Test	START	1720475962302
USER	Pokemon API Test	END	1720475962302
USER	Pokemon API Test	START	1720475962303
REQUEST		Get Pikachu	1720475962245	1720475962303	OK	 
USER	Pokemon API Test	END	1720475962308
USER	Pokemon API Test	START	1720475962308
REQUEST		Get Pikachu	1720475962243	1720475962309	OK	 
USER	Pokemon API Test	END	1720475962313
USER	Pokemon API Test	START	1720475962313
REQUEST		Get Pikachu	1720475962271	1720475962320	OK	 
USER	Pokemon API Test	END	1720475962324
REQUEST		Get Pikachu	1720475962227	1720475962315	OK	 
USER	Pokemon API Test	END	1720475962325
USER	Pokemon API Test	START	1720475962325
USER	Pokemon API Test	START	1720475962325
REQUEST		Get Pikachu	1720475962287	1720475962326	OK	 
USER	Pokemon API Test	END	1720475962327
USER	Pokemon API Test	START	1720475962327
REQUEST		Get Pikachu	1720475962302	1720475962345	OK	 
USER	Pokemon API Test	END	1720475962349
USER	Pokemon API Test	START	1720475962349
REQUEST		Get Pikachu	1720475962285	1720475962352	OK	 
USER	Pokemon API Test	END	1720475962357
USER	Pokemon API Test	START	1720475962357
REQUEST		Get Pikachu	1720475962308	1720475962361	OK	 
USER	Pokemon API Test	END	1720475962373
USER	Pokemon API Test	START	1720475962374
REQUEST		Get Pikachu	1720475962282	1720475962343	OK	 
USER	Pokemon API Test	END	1720475962375
REQUEST		Get Pikachu	1720475962313	1720475962359	OK	 
REQUEST		Get Pikachu	1720475962286	1720475962360	OK	 
USER	Pokemon API Test	END	1720475962377
USER	Pokemon API Test	END	1720475962377
USER	Pokemon API Test	START	1720475962377
USER	Pokemon API Test	START	1720475962378
REQUEST		Get Pikachu	1720475962325	1720475962380	OK	 
USER	Pokemon API Test	START	1720475962381
USER	Pokemon API Test	END	1720475962381
USER	Pokemon API Test	START	1720475962381
REQUEST		Get Pikachu	1720475962303	1720475962385	OK	 
USER	Pokemon API Test	END	1720475962392
REQUEST		Get Pikachu	1720475962326	1720475962390	OK	 
USER	Pokemon API Test	END	1720475962395
USER	Pokemon API Test	START	1720475962395
REQUEST		Get Pikachu	1720475962327	1720475962392	OK	 
USER	Pokemon API Test	END	1720475962397
USER	Pokemon API Test	START	1720475962397
USER	Pokemon API Test	START	1720475962397
REQUEST		Get Pikachu	1720475962349	1720475962397	OK	 
USER	Pokemon API Test	END	1720475962407
USER	Pokemon API Test	START	1720475962407
REQUEST		Get Pikachu	1720475962374	1720475962415	OK	 
USER	Pokemon API Test	END	1720475962416
USER	Pokemon API Test	START	1720475962418
REQUEST		Get Pikachu	1720475962381	1720475962430	OK	 
USER	Pokemon API Test	END	1720475962434
REQUEST		Get Pikachu	1720475962377	1720475962431	OK	 
USER	Pokemon API Test	END	1720475962435
REQUEST		Get Pikachu	1720475962381	1720475962433	OK	 
USER	Pokemon API Test	END	1720475962437
USER	Pokemon API Test	START	1720475962437
REQUEST		Get Pikachu	1720475962396	1720475962437	OK	 
USER	Pokemon API Test	END	1720475962438
USER	Pokemon API Test	START	1720475962438
REQUEST		Get Pikachu	1720475962378	1720475962436	OK	 
USER	Pokemon API Test	END	1720475962440
USER	Pokemon API Test	START	1720475962440
USER	Pokemon API Test	START	1720475962440
USER	Pokemon API Test	START	1720475962441
REQUEST		Get Pikachu	1720475962357	1720475962437	OK	 
USER	Pokemon API Test	END	1720475962441
USER	Pokemon API Test	START	1720475962442
REQUEST		Get Pikachu	1720475962397	1720475962447	OK	 
USER	Pokemon API Test	END	1720475962452
USER	Pokemon API Test	START	1720475962452
REQUEST		Get Pikachu	1720475962397	1720475962453	OK	 
REQUEST		Get Pikachu	1720475962407	1720475962455	OK	 
USER	Pokemon API Test	END	1720475962460
USER	Pokemon API Test	END	1720475962460
USER	Pokemon API Test	START	1720475962460
USER	Pokemon API Test	START	1720475962460
REQUEST		Get Pikachu	1720475962442	1720475962474	OK	 
USER	Pokemon API Test	END	1720475962476
USER	Pokemon API Test	START	1720475962476
REQUEST		Get Pikachu	1720475962442	1720475962481	OK	 
USER	Pokemon API Test	END	1720475962482
USER	Pokemon API Test	START	1720475962482
REQUEST		Get Pikachu	1720475962419	1720475962479	OK	 
USER	Pokemon API Test	END	1720475962483
USER	Pokemon API Test	START	1720475962483
REQUEST		Get Pikachu	1720475962438	1720475962488	OK	 
USER	Pokemon API Test	END	1720475962493
USER	Pokemon API Test	START	1720475962493
REQUEST		Get Pikachu	1720475962440	1720475962492	OK	 
USER	Pokemon API Test	END	1720475962497
USER	Pokemon API Test	START	1720475962497
REQUEST		Get Pikachu	1720475962441	1720475962499	OK	 
USER	Pokemon API Test	END	1720475962507
REQUEST		Get Pikachu	1720475962452	1720475962507	OK	 
USER	Pokemon API Test	END	1720475962511
USER	Pokemon API Test	START	1720475962511
REQUEST		Get Pikachu	1720475962482	1720475962514	OK	 
REQUEST		Get Pikachu	1720475962440	1720475962510	OK	 
USER	Pokemon API Test	END	1720475962515
USER	Pokemon API Test	END	1720475962515
USER	Pokemon API Test	START	1720475962516
REQUEST		Get Pikachu	1720475962461	1720475962513	OK	 
USER	Pokemon API Test	END	1720475962518
USER	Pokemon API Test	START	1720475962518
REQUEST		Get Pikachu	1720475962460	1720475962515	OK	 
USER	Pokemon API Test	END	1720475962520
USER	Pokemon API Test	START	1720475962520
USER	Pokemon API Test	START	1720475962524
REQUEST		Get Pikachu	1720475962476	1720475962531	OK	 
USER	Pokemon API Test	END	1720475962536
USER	Pokemon API Test	START	1720475962536
USER	Pokemon API Test	START	1720475962539
REQUEST		Get Pikachu	1720475962484	1720475962540	OK	 
USER	Pokemon API Test	END	1720475962544
USER	Pokemon API Test	START	1720475962544
REQUEST		Get Pikachu	1720475962516	1720475962550	OK	 
USER	Pokemon API Test	END	1720475962551
USER	Pokemon API Test	START	1720475962551
REQUEST		Get Pikachu	1720475962493	1720475962548	OK	 
USER	Pokemon API Test	END	1720475962554
USER	Pokemon API Test	START	1720475962554
REQUEST		Get Pikachu	1720475962512	1720475962562	OK	 
REQUEST		Get Pikachu	1720475962497	1720475962562	OK	 
USER	Pokemon API Test	END	1720475962567
USER	Pokemon API Test	START	1720475962568
USER	Pokemon API Test	END	1720475962568
USER	Pokemon API Test	START	1720475962568
REQUEST		Get Pikachu	1720475962536	1720475962573	OK	 
USER	Pokemon API Test	END	1720475962573
REQUEST		Get Pikachu	1720475962525	1720475962572	OK	 
USER	Pokemon API Test	END	1720475962582
USER	Pokemon API Test	START	1720475962583
USER	Pokemon API Test	START	1720475962584
REQUEST		Get Pikachu	1720475962520	1720475962590	OK	 
USER	Pokemon API Test	END	1720475962594
USER	Pokemon API Test	START	1720475962594
REQUEST		Get Pikachu	1720475962540	1720475962598	OK	 
USER	Pokemon API Test	END	1720475962604
REQUEST		Get Pikachu	1720475962568	1720475962606	OK	 
USER	Pokemon API Test	END	1720475962606
REQUEST		Get Pikachu	1720475962544	1720475962602	OK	 
USER	Pokemon API Test	END	1720475962607
USER	Pokemon API Test	START	1720475962607
USER	Pokemon API Test	START	1720475962608
USER	Pokemon API Test	START	1720475962609
REQUEST		Get Pikachu	1720475962518	1720475962604	OK	 
USER	Pokemon API Test	END	1720475962610
USER	Pokemon API Test	START	1720475962610
REQUEST		Get Pikachu	1720475962551	1720475962608	OK	 
USER	Pokemon API Test	END	1720475962613
USER	Pokemon API Test	START	1720475962613
REQUEST		Get Pikachu	1720475962554	1720475962614	OK	 
USER	Pokemon API Test	END	1720475962619
USER	Pokemon API Test	START	1720475962619
REQUEST		Get Pikachu	1720475962568	1720475962643	OK	 
USER	Pokemon API Test	END	1720475962651
REQUEST		Get Pikachu	1720475962594	1720475962646	OK	 
USER	Pokemon API Test	START	1720475962656
USER	Pokemon API Test	END	1720475962657
REQUEST		Get Pikachu	1720475962613	1720475962665	OK	 
USER	Pokemon API Test	END	1720475962666
REQUEST		Get Pikachu	1720475962607	1720475962661	OK	 
USER	Pokemon API Test	END	1720475962668
REQUEST		Get Pikachu	1720475962595	1720475962650	OK	 
USER	Pokemon API Test	START	1720475962668
USER	Pokemon API Test	END	1720475962668
USER	Pokemon API Test	START	1720475962668
USER	Pokemon API Test	START	1720475962668
USER	Pokemon API Test	START	1720475962668
REQUEST		Get Pikachu	1720475962610	1720475962670	OK	 
USER	Pokemon API Test	END	1720475962675
USER	Pokemon API Test	START	1720475962675
REQUEST		Get Pikachu	1720475962609	1720475962678	OK	 
USER	Pokemon API Test	END	1720475962682
USER	Pokemon API Test	START	1720475962682
REQUEST		Get Pikachu	1720475962619	1720475962693	OK	 
USER	Pokemon API Test	END	1720475962697
USER	Pokemon API Test	START	1720475962697
REQUEST		Get Pikachu	1720475962658	1720475962700	OK	 
USER	Pokemon API Test	END	1720475962701
USER	Pokemon API Test	START	1720475962701
REQUEST		Get Pikachu	1720475962583	1720475962706	OK	 
USER	Pokemon API Test	END	1720475962718
REQUEST		Get Pikachu	1720475962676	1720475962720	OK	 
REQUEST		Get Pikachu	1720475962613	1720475962719	OK	 
USER	Pokemon API Test	END	1720475962724
USER	Pokemon API Test	END	1720475962724
USER	Pokemon API Test	START	1720475962724
REQUEST		Get Pikachu	1720475962668	1720475962721	OK	 
USER	Pokemon API Test	END	1720475962725
USER	Pokemon API Test	START	1720475962725
USER	Pokemon API Test	START	1720475962725
REQUEST		Get Pikachu	1720475962669	1720475962714	OK	 
USER	Pokemon API Test	END	1720475962730
USER	Pokemon API Test	START	1720475962730
USER	Pokemon API Test	START	1720475962730
REQUEST		Get Pikachu	1720475962668	1720475962735	OK	 
USER	Pokemon API Test	END	1720475962739
USER	Pokemon API Test	START	1720475962741
REQUEST		Get Pikachu	1720475962682	1720475962745	OK	 
USER	Pokemon API Test	END	1720475962753
USER	Pokemon API Test	START	1720475962754
REQUEST		Get Pikachu	1720475962702	1720475962754	OK	 
USER	Pokemon API Test	END	1720475962761
USER	Pokemon API Test	START	1720475962761
REQUEST		Get Pikachu	1720475962725	1720475962768	OK	 
USER	Pokemon API Test	END	1720475962769
USER	Pokemon API Test	START	1720475962769
REQUEST		Get Pikachu	1720475962725	1720475962767	OK	 
USER	Pokemon API Test	END	1720475962771
REQUEST		Get Pikachu	1720475962698	1720475962765	OK	 
REQUEST		Get Pikachu	1720475962724	1720475962770	OK	 
USER	Pokemon API Test	END	1720475962775
USER	Pokemon API Test	START	1720475962775
USER	Pokemon API Test	END	1720475962776
USER	Pokemon API Test	START	1720475962776
USER	Pokemon API Test	START	1720475962777
REQUEST		Get Pikachu	1720475962730	1720475962784	OK	 
USER	Pokemon API Test	END	1720475962793
REQUEST		Get Pikachu	1720475962730	1720475962788	OK	 
USER	Pokemon API Test	END	1720475962793
USER	Pokemon API Test	START	1720475962793
USER	Pokemon API Test	START	1720475962794
REQUEST		Get Pikachu	1720475962669	1720475962790	OK	 
USER	Pokemon API Test	END	1720475962797
USER	Pokemon API Test	START	1720475962797
REQUEST		Get Pikachu	1720475962755	1720475962798	OK	 
USER	Pokemon API Test	END	1720475962798
USER	Pokemon API Test	START	1720475962798
REQUEST		Get Pikachu	1720475962741	1720475962807	OK	 
USER	Pokemon API Test	END	1720475962812
USER	Pokemon API Test	START	1720475962813
REQUEST		Get Pikachu	1720475962777	1720475962822	OK	 
USER	Pokemon API Test	END	1720475962823
USER	Pokemon API Test	START	1720475962826
REQUEST		Get Pikachu	1720475962776	1720475962822	OK	 
USER	Pokemon API Test	END	1720475962828
USER	Pokemon API Test	START	1720475962829
REQUEST		Get Pikachu	1720475962761	1720475962829	OK	 
USER	Pokemon API Test	END	1720475962832
USER	Pokemon API Test	START	1720475962832
REQUEST		Get Pikachu	1720475962769	1720475962833	OK	 
USER	Pokemon API Test	END	1720475962838
USER	Pokemon API Test	START	1720475962838
REQUEST		Get Pikachu	1720475962777	1720475962837	OK	 
USER	Pokemon API Test	END	1720475962841
USER	Pokemon API Test	START	1720475962841
REQUEST		Get Pikachu	1720475962797	1720475962855	OK	 
USER	Pokemon API Test	END	1720475962859
REQUEST		Get Pikachu	1720475962794	1720475962854	OK	 
USER	Pokemon API Test	END	1720475962860
USER	Pokemon API Test	START	1720475962861
REQUEST		Get Pikachu	1720475962799	1720475962848	OK	 
REQUEST		Get Pikachu	1720475962793	1720475962844	OK	 
USER	Pokemon API Test	END	1720475962864
USER	Pokemon API Test	START	1720475962864
REQUEST		Get Pikachu	1720475962813	1720475962864	OK	 
USER	Pokemon API Test	END	1720475962865
USER	Pokemon API Test	END	1720475962865
USER	Pokemon API Test	START	1720475962865
USER	Pokemon API Test	START	1720475962865
USER	Pokemon API Test	START	1720475962865
REQUEST		Get Pikachu	1720475962829	1720475962876	OK	 
USER	Pokemon API Test	END	1720475962880
USER	Pokemon API Test	START	1720475962882
REQUEST		Get Pikachu	1720475962842	1720475962892	OK	 
REQUEST		Get Pikachu	1720475962826	1720475962892	OK	 
REQUEST		Get Pikachu	1720475962833	1720475962893	OK	 
USER	Pokemon API Test	END	1720475962897
USER	Pokemon API Test	START	1720475962897
USER	Pokemon API Test	END	1720475962897
USER	Pokemon API Test	START	1720475962897
USER	Pokemon API Test	END	1720475962898
USER	Pokemon API Test	START	1720475962898
REQUEST		Get Pikachu	1720475962865	1720475962900	OK	 
USER	Pokemon API Test	END	1720475962900
USER	Pokemon API Test	START	1720475962901
REQUEST		Get Pikachu	1720475962838	1720475962907	OK	 
USER	Pokemon API Test	END	1720475962911
USER	Pokemon API Test	START	1720475962911
REQUEST		Get Pikachu	1720475962865	1720475962919	OK	 
USER	Pokemon API Test	END	1720475962923
USER	Pokemon API Test	START	1720475962923
REQUEST		Get Pikachu	1720475962864	1720475962920	OK	 
USER	Pokemon API Test	END	1720475962927
USER	Pokemon API Test	START	1720475962927
REQUEST		Get Pikachu	1720475962861	1720475962924	OK	 
USER	Pokemon API Test	END	1720475962929
USER	Pokemon API Test	START	1720475962931
REQUEST		Get Pikachu	1720475962865	1720475962928	OK	 
USER	Pokemon API Test	END	1720475962933
USER	Pokemon API Test	START	1720475962933
REQUEST		Get Pikachu	1720475962882	1720475962940	OK	 
USER	Pokemon API Test	END	1720475962943
USER	Pokemon API Test	START	1720475962944
REQUEST		Get Pikachu	1720475962901	1720475962950	OK	 
USER	Pokemon API Test	END	1720475962951
USER	Pokemon API Test	START	1720475962951
REQUEST		Get Pikachu	1720475962898	1720475962945	OK	 
USER	Pokemon API Test	END	1720475962954
USER	Pokemon API Test	START	1720475962955
REQUEST		Get Pikachu	1720475962897	1720475962955	OK	 
USER	Pokemon API Test	END	1720475962965
USER	Pokemon API Test	START	1720475962965
REQUEST		Get Pikachu	1720475962927	1720475962976	OK	 
USER	Pokemon API Test	END	1720475962980
REQUEST		Get Pikachu	1720475962911	1720475962981	OK	 
USER	Pokemon API Test	END	1720475962985
USER	Pokemon API Test	START	1720475962985
REQUEST		Get Pikachu	1720475962898	1720475962981	OK	 
USER	Pokemon API Test	END	1720475962985
USER	Pokemon API Test	START	1720475962985
USER	Pokemon API Test	START	1720475962985
REQUEST		Get Pikachu	1720475962924	1720475962987	OK	 
USER	Pokemon API Test	END	1720475962995
USER	Pokemon API Test	START	1720475962995
REQUEST		Get Pikachu	1720475962944	1720475963002	OK	 
USER	Pokemon API Test	END	1720475963006
USER	Pokemon API Test	START	1720475963006
REQUEST		Get Pikachu	1720475962931	1720475963003	OK	 
USER	Pokemon API Test	END	1720475963009
USER	Pokemon API Test	START	1720475963011
REQUEST		Get Pikachu	1720475962955	1720475963007	OK	 
USER	Pokemon API Test	END	1720475963016
USER	Pokemon API Test	START	1720475963016
REQUEST		Get Pikachu	1720475962985	1720475963018	OK	 
USER	Pokemon API Test	END	1720475963019
USER	Pokemon API Test	START	1720475963019
REQUEST		Get Pikachu	1720475962966	1720475963024	OK	 
USER	Pokemon API Test	END	1720475963028
USER	Pokemon API Test	START	1720475963028
REQUEST		Get Pikachu	1720475962934	1720475963035	OK	 
USER	Pokemon API Test	END	1720475963036
USER	Pokemon API Test	START	1720475963036
REQUEST		Get Pikachu	1720475962986	1720475963033	OK	 
USER	Pokemon API Test	END	1720475963038
USER	Pokemon API Test	START	1720475963038
REQUEST		Get Pikachu	1720475962995	1720475963047	OK	 
USER	Pokemon API Test	END	1720475963053
USER	Pokemon API Test	START	1720475963053
REQUEST		Get Pikachu	1720475963012	1720475963056	OK	 
REQUEST		Get Pikachu	1720475963006	1720475963057	OK	 
USER	Pokemon API Test	END	1720475963061
USER	Pokemon API Test	END	1720475963061
USER	Pokemon API Test	START	1720475963062
REQUEST		Get Pikachu	1720475962985	1720475963052	OK	 
USER	Pokemon API Test	END	1720475963063
USER	Pokemon API Test	START	1720475963063
USER	Pokemon API Test	START	1720475963064
REQUEST		Get Pikachu	1720475963019	1720475963071	OK	 
USER	Pokemon API Test	END	1720475963075
REQUEST		Get Pikachu	1720475963038	1720475963084	OK	 
USER	Pokemon API Test	END	1720475963084
REQUEST		Get Pikachu	1720475963016	1720475963076	OK	 
USER	Pokemon API Test	END	1720475963085
REQUEST		Get Pikachu	1720475962952	1720475963079	OK	 
USER	Pokemon API Test	END	1720475963085
USER	Pokemon API Test	START	1720475963086
USER	Pokemon API Test	START	1720475963087
REQUEST		Get Pikachu	1720475963028	1720475963085	OK	 
USER	Pokemon API Test	END	1720475963089
USER	Pokemon API Test	START	1720475963089
USER	Pokemon API Test	START	1720475963089
USER	Pokemon API Test	START	1720475963090
REQUEST		Get Pikachu	1720475963037	1720475963101	OK	 
USER	Pokemon API Test	END	1720475963106
USER	Pokemon API Test	START	1720475963106
REQUEST		Get Pikachu	1720475963064	1720475963111	OK	 
USER	Pokemon API Test	END	1720475963115
USER	Pokemon API Test	START	1720475963115
REQUEST		Get Pikachu	1720475963086	1720475963117	OK	 
USER	Pokemon API Test	END	1720475963120
USER	Pokemon API Test	START	1720475963120
REQUEST		Get Pikachu	1720475963056	1720475963116	OK	 
USER	Pokemon API Test	END	1720475963128
USER	Pokemon API Test	START	1720475963128
REQUEST		Get Pikachu	1720475963063	1720475963122	OK	 
USER	Pokemon API Test	END	1720475963132
